,Unnamed: 0,trial_num,image,is_repeat,type,Image Index,Block,Onset,Offset,Response,RT
24,24,25,T4_11,True,target,Target-1322,1,61.29794502258301,63.3145489692688,0.0,0.6332988739013672
25,25,26,T3_6,False,target,Target-609,1,63.83064603805542,65.84788298606873,0.0,0.6675279140472412
26,26,27,T3_10,False,target,Filler-656,1,66.36299681663513,68.36406588554382,0.0,0.6180641651153564
27,27,28,F_R5,False,filler,Target-120,1,68.88093304634094,70.89686703681946,0.0,0.5501308441162109
28,28,29,F_R5,True,filler,Target-120,1,71.39699792861938,73.39790081977844,0.0,0.5168609619140625
29,29,30,F_S18,False,filler,Target-2198,1,73.9145200252533,75.93064999580383,0.0,0.6000649929046631
30,30,31,T2_4,False,target,Filler-5605,1,76.44692397117615,78.4471390247345,0.0,0.6671230792999268
31,31,32,T1_9,False,target,Filler-1828,1,78.96423101425171,80.98002290725708,0.0,0.8331968784332275
32,32,33,T2_12,True,target,Filler-7840,1,81.48018002510071,83.49676990509033,1.0,1.166773796081543
33,33,34,T1_10,True,target,Filler-903,1,83.99687886238098,85.99689483642578,1.0,1.2999379634857178
34,34,35,T4_5,True,target,Target-673,1,86.51356482505798,88.5136489868164,0.0,0.7505271434783936
35,35,36,F_S20,False,filler,Target-2203,1,89.02992987632751,91.0466480255127,0.0,0.8334691524505615
36,36,37,T3_13,True,target,Target-1306,1,91.5470540523529,93.5633008480072,0.0,1.5661327838897705
37,37,38,T4_7,False,target,Filler-2084,1,94.06392002105713,96.07957696914673,0.0,0.9333248138427734
38,38,39,T3_1,False,target,Filler-426,1,96.59610104560852,98.59625196456909,0.0,0.6840639114379883
39,39,40,T4_14,True,target,Filler-6381,1,99.11223983764648,101.11303091049194,0.0,0.7332890033721924
40,40,41,T1_6,True,target,Filler-6863,1,101.62954592704773,103.63005805015564,1.0,0.883491039276123
41,41,42,T2_14,True,target,Target-1179,1,104.14539194107056,106.14613890647888,1.0,0.7337520122528076
42,42,43,T1_12,True,target,Filler-5543,1,106.66114401817322,108.66257691383362,0.0,1.1680378913879395
43,43,44,T4_4,True,target,Filler-2539,1,109.17956495285034,111.19576692581177,0.0,0.7503440380096436
44,44,45,T3_8,False,target,Filler-4687,1,111.71156692504883,113.71223998069763,0.0,0.9844169616699219
45,45,46,T3_9,True,target,Filler-7963,1,114.22867584228516,116.24549889564514,0.0,0.9008820056915283
46,46,47,T2_1,False,target,Filler-180,1,116.74602389335632,118.76226902008057,0.0,0.766319990158081
47,47,48,F_S2,False,filler,Target-1858,1,119.26250982284546,121.27916598320007,0.0,0.7497520446777344
48,48,49,T3_15,False,target,Filler-358,1,121.7960319519043,123.81151700019836,0.0,1.197922945022583
49,49,50,T1_2,True,target,Target-1458,1,124.32882189750671,126.34510588645935,0.0,0.933150053024292
50,50,51,T4_8,False,target,Filler-624,1,126.86120104789734,128.86126804351807,0.0,0.5843949317932129
51,51,52,T2_10,False,target,Filler-366,1,129.3619349002838,131.378182888031,0.0,0.8002200126647949
52,52,53,T4_2,True,target,Filler-2138,1,131.87832283973694,133.89505290985107,0.0,0.7649970054626465
53,53,54,T2_3,False,target,Filler-5531,1,134.4093198776245,136.41118097305298,0.0,0.6366629600524902
